mesa,Open-source OpenGL implementation
xorg,
xorg-server,
xorg-apps,
xorg-drivers,
xorg-xkill,
xorg-xinit,
xterm,X11 terminal emulator
polkit,Polkit
polkit-kde-agent,
plasma-desktop,KDE Plasma
alsa-plugins,Audio plugins
alsa-utils,Audio utils
ark,Compression
autoconf,
automake,
base,
bash-completion,
bind,
binutils,
bison,
bluedevil,
bluez,
bluez-libs,
bluez-utils,
breeze,
breeze-gtk,
bridge-utils,
btrfs-progs,
mpv,
code,Visual Studio Code
cronie,
cups,Printing service
dialog,
discover,
dolphin,File manager
dosfstools,
dtc,
efibootmgr,
exfat-utils,
extra-cmake-modules,
filelight,
flex,
fuse2,
fuse3,
fuseiso,
gamemode,
gcc,
krita,Photo editor
git,
gparted,Partition manager
gptfdisk,
grub,
grub-customizer,
gst-libav,
gst-plugins-good,
gst-plugins-ugly,
gwenview,Image viewer
htop,
ufw,Firewall
jdk-openjdk,Java 17
kate,Text editor
kcodecs,
kcoreaddons,
kdeplasma-addons,
kde-gtk-config,
kinfocenter,
kscreen,
kvantum-qt5,
konsole,Terminal emulator
kscreen,
libdvdcss,
libnewt,
libtool,
linux,Linux kernel
linux-firmware,Linux proprietary blobs
linux-headers,Linux headers
lsof,
lutris,
lzop,
m4,
make,
milou,
nano,Pico editor clone
neofetch,
networkmanager,NetworkManager
ntfs-3g,NTFS support
ntp,
okular,Document viewer
openbsd-netcat,Netcat
openssh,OpenSSH
os-prober,
oxygen,
p7zip,
pacman-contrib,
patch,
picom,
pkgconf,
plasma-meta,
plasma-nm,
powerdevil,
poweline-fonts,
print-manager,
pulseaudio,
pulseaudio-alsa,
pulseaudio-bluetooth,
python-notify2,
python-psutil,
python-pyqt5,
python-pip,
qemu,
rsync,
sddm,
sddm-kcm,
snapper,
spectacle,
steam,
sudo,
swtpm,
synergy,
systemsettings,
terminus-font,
traceroute,
unrar,
unzip,
usbutils,
vim,
virt-manager,
virt-viewer,
wget,
wine-gecko,
wine-mono,
winetricks,
xdg-desktop-portal-kde,
xdg-user-dirs,
zeroconf-ioslave,
zip,
zsh,
zsh-syntax-highlighting,
zsh-autosuggestions,
curl,
firefox,
packagekit-qt5,
flatpak,
